run_games,seed,run_mode,competitors,rotate_seats,daily_conditions,workers,code_revision,elapsed_seconds,card,free_pick_rate,free_pick_offers,free_picks,win_rate,win_credit_when_acquired,player_games_with_card,fun_added,fun_total_with_card,player_games_without_card,fun_total_without_card,offers,picks,pick_rate,acquisitions,plays,plays_without_acquisition,play_rate,win_rate_when_picked,win_rate_when_acquired
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,5 10 15,1.0,3,3,0.16666666666666666,1.0,6,-2.7692307692307665,285,26,1307,3,3,1.0,6,6,0,1.0,0.0,0.16666666666666666
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,7 Wonders,0.6,10,6,0.14285714285714285,1.0,7,-2.057142857142857,337,25,1255,10,6,0.6,7,6,0,0.8571428571428571,0.0,0.14285714285714285
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Address the Food,0.19047619047619047,21,4,0.25,1.0,4,2.0,206,28,1386,21,4,0.19047619047619047,4,2,0,0.5,0.25,0.25
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Adventure Race,0.12121212121212122,33,4,0.4,2.0,5,0.7703703703703724,252,27,1340,33,4,0.12121212121212122,5,1,0,0.2,0.25,0.4
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,After Dinner Entertainment,0.14705882352941177,34,5,0.625,5.0,8,2.5,413,24,1179,34,5,0.14705882352941177,8,4,0,0.5,0.8,0.625
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Afternoon Coffee,0.10810810810810811,37,4,0.0,0.0,6,2.3589743589743577,310,26,1282,37,4,0.10810810810810811,6,5,0,0.8333333333333334,0.0,0.0
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Agricola,0.4166666666666667,12,5,0.3333333333333333,2.0,6,-1.1282051282051242,293,26,1299,12,5,0.4166666666666667,6,6,0,1.0,0.4,0.3333333333333333
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Assorted Cutlery,0.2,15,3,0.3333333333333333,1.0,3,1.7471264367816133,154,29,1438,15,3,0.2,3,3,0,1.0,0.3333333333333333,0.3333333333333333
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Aunterview,0.5,2,1,0.0,0.0,1,-1.8064516129032242,48,31,1544,2,1,0.5,1,0,0,0.0,0.0,0.0
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Azul,0.7142857142857143,7,5,0.2,1.0,5,0.2962962962962976,250,27,1342,7,5,0.7142857142857143,5,5,0,1.0,0.2,0.2
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Beach Conversation,0.8333333333333334,6,5,0.4,2.0,5,3.8518518518518547,265,27,1327,6,5,0.8333333333333334,5,5,0,1.0,0.4,0.4
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Beach Volleyball,0.5,4,2,0.3333333333333333,2.0,6,1.1282051282051242,304,26,1288,4,2,0.5,6,5,0,0.8333333333333334,0.5,0.3333333333333333
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Beaver Burger,1.0,3,3,0.8,4.0,5,6.933333333333337,278,27,1314,3,3,1.0,5,5,0,1.0,1.0,0.8
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Bend the Rules,0.2,25,5,0.3333333333333333,2.0,6,3.7948717948717956,317,26,1275,25,5,0.2,6,4,0,0.6666666666666666,0.4,0.3333333333333333
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Biography,0.8333333333333334,6,5,0.3333333333333333,2.0,6,1.1282051282051242,304,26,1288,6,5,0.8333333333333334,6,6,0,1.0,0.4,0.3333333333333333
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Boat Ride,0.2857142857142857,14,4,0.0,0.0,5,-1.1259259259259267,244,27,1348,14,4,0.2857142857142857,5,3,0,0.6,0.0,0.0
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Booby Prize,0.5555555555555556,9,5,0.2,1.0,5,-0.17777777777777715,248,27,1344,9,5,0.5555555555555556,5,3,0,0.6,0.2,0.2
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Bougie Coffee Machine,0.2222222222222222,9,2,0.5,2.0,4,-0.5714285714285694,197,28,1395,9,2,0.2222222222222222,4,4,0,1.0,0.0,0.5
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Bracelet Making,0.3684210526315789,19,7,0.125,1.0,8,-3.3333333333333357,378,24,1214,19,7,0.3684210526315789,8,5,0,0.625,0.14285714285714285,0.125
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Bring a Friend,0.35294117647058826,17,6,0.14285714285714285,1.0,7,-1.874285714285712,338,25,1254,17,6,0.35294117647058826,7,6,0,0.8571428571428571,0.16666666666666666,0.14285714285714285
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Bubly,1.0,6,6,0.5,3.0,6,4.0,318,26,1274,6,6,1.0,6,5,0,0.8333333333333334,0.5,0.5
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Bug Spray,0.5,4,2,0.0,0.0,3,-7.080459770114942,130,29,1462,4,2,0.5,3,2,0,0.6666666666666666,0.0,0.0
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Butter Tarts,0.0392156862745098,51,2,0.0,0.0,4,-2.2857142857142847,191,28,1401,51,2,0.0392156862745098,4,1,0,0.25,0.0,0.0
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Calzones,1.0,2,2,1.0,2.0,2,4.533333333333331,108,30,1484,2,2,1.0,2,2,0,1.0,1.0,1.0
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Camp Crossroads Dessert,0.6666666666666666,6,4,0.25,1.0,4,-1.142857142857146,195,28,1397,6,4,0.6666666666666666,4,2,0,0.5,0.25,0.25
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Campfire,0.13513513513513514,37,5,0.0,0.0,6,-1.53846153846154,291,26,1301,37,5,0.13513513513513514,6,3,0,0.5,0.0,0.0
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Canoe,0.7142857142857143,7,5,0.4,2.0,5,0.2962962962962976,250,27,1342,7,5,0.7142857142857143,5,2,0,0.4,0.4,0.4
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Carcassonne,0.5,8,4,0.25,1.0,4,0.8571428571428541,202,28,1390,8,4,0.5,4,2,0,0.5,0.25,0.25
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Chalk Art,0.8333333333333334,6,5,0.0,0.0,6,-0.512820512820511,296,26,1296,6,5,0.8333333333333334,6,6,0,1.0,0.0,0.0
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Charcuterie,0.5714285714285714,7,4,0.16666666666666666,1.0,6,-2.564102564102569,286,26,1306,8,4,0.5,6,6,0,1.0,0.0,0.16666666666666666
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Cheap Red,0.5714285714285714,7,4,0.4,2.0,5,1.9555555555555557,257,27,1335,7,4,0.5714285714285714,5,5,0,1.0,0.5,0.4
8,20260906,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,8.215,Cheap White,0.5,10,5,0.6666666666666666,4.0,6,4.0,318,26,1274,11,6,0.5454545454545454,6,6,0,1.0,0.6666666666666666,0.6666666666666666
