run_games,seed,run_mode,competitors,rotate_seats,workers,code_revision,elapsed_seconds,card,free_pick_rate,free_pick_offers,free_picks,win_rate,win_credit_when_acquired,player_games_with_card,fun_added,fun_total_with_card,player_games_without_card,fun_total_without_card,offers,picks,pick_rate,acquisitions,plays,plays_without_acquisition,play_rate,win_rate_when_picked,win_rate_when_acquired
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,5 10 15,0.14705882352941177,34,5,0.42857142857142855,3.0,7,6.022857142857141,456,25,1478,36,5,0.1388888888888889,7,4,0,0.5714285714285714,0.2,0.42857142857142855
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,7 Wonders,1.0,6,6,0.14285714285714285,1.0,7,0.5371428571428538,426,25,1508,6,6,1.0,7,7,0,1.0,0.16666666666666666,0.14285714285714285
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Address the Food,0.25,16,4,0.14285714285714285,1.0,7,-2.3885714285714315,410,25,1524,16,4,0.25,7,7,0,1.0,0.0,0.14285714285714285
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Adventure Race,0.3333333333333333,12,4,0.0,0.0,6,-8.53846153846154,321,26,1613,12,4,0.3333333333333333,6,1,0,0.16666666666666666,0.0,0.0
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,After Dinner Entertainment,0.3,10,3,0.2,1.0,5,-0.2814814814814781,301,27,1633,10,3,0.3,5,2,0,0.4,0.3333333333333333,0.2
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Afternoon Coffee,0.17142857142857143,35,6,0.14285714285714285,1.0,7,-0.7428571428571473,419,25,1515,37,7,0.1891891891891892,7,7,0,1.0,0.14285714285714285,0.14285714285714285
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Agricola,0.6363636363636364,11,7,0.125,1.0,8,-2.4166666666666643,469,24,1465,11,7,0.6363636363636364,8,6,0,0.75,0.14285714285714285,0.125
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Assorted Cutlery,0.3333333333333333,15,5,0.14285714285714285,1.0,7,4.011428571428567,445,25,1489,15,5,0.3333333333333333,7,5,0,0.7142857142857143,0.2,0.14285714285714285
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Aunterview,0.18181818181818182,22,4,0.25,1.0,4,-8.214285714285715,213,28,1721,22,4,0.18181818181818182,4,3,0,0.75,0.25,0.25
8,20260820,four-genius,"Genius,Genius,Genius,Genius",True,16,7b812041572381726a169bb2f3b43b874e38f630+dirty,188.791,Azul,1.0,3,3,0.4,2.0,5,6.355555555555554,329,27,1605,3,3,1.0,5,5,0,1.0,0.6666666666666666,0.4
